"rules","support","confidence","lift"
"48","{GRMZM2G177866*0} => {GRMZM2G167492*0}",0.164983164983165,0.453703703703704,1.11363636363636
"49","{GRMZM2G429899*0} => {GRMZM2G147145*0}",0.168350168350168,0.467289719626168,1.19642281662907
"50","{GRMZM2G429899*0} => {GRMZM2G149230*0}",0.181818181818182,0.504672897196262,1.29213664195939
"51","{GRMZM2G149230*0} => {GRMZM2G429899*0}",0.181818181818182,0.46551724137931,1.29213664195939
"52","{GRMZM2G429899*0} => {GRMZM2G142776*0}",0.164983164983165,0.457943925233645,1.14293567894447
"53","{GRMZM2G429899*0} => {GRMZM2G020594*0}",0.171717171717172,0.476635514018692,1.20992092020129
"54","{GRMZM2G149442*0} => {GRMZM2G170727*0}",0.168350168350168,0.458715596330275,1.20565072663798
"55","{GRMZM2G149442*0} => {GRMZM2G149230*0}",0.178451178451178,0.486238532110092,1.24493831066118
"56","{GRMZM2G149230*0} => {GRMZM2G149442*0}",0.178451178451178,0.456896551724138,1.24493831066118
"57","{GRMZM2G174860*0} => {GRMZM2G170742*0}",0.164983164983165,0.453703703703704,1.225
"58","{GRMZM2G170742*0} => {GRMZM2G047720*0}",0.188552188552189,0.509090909090909,1.35
"59","{GRMZM2G047720*0} => {GRMZM2G170742*0}",0.188552188552189,0.5,1.35
"60","{GRMZM2G170742*0} => {GRMZM2G071270*0}",0.178451178451178,0.481818181818182,1.27767857142857
"61","{GRMZM2G071270*0} => {GRMZM2G170742*0}",0.178451178451178,0.473214285714286,1.27767857142857
"62","{GRMZM2G170742*0} => {GRMZM2G701389*0}",0.202020202020202,0.545454545454545,1.42105263157895
"63","{GRMZM2G701389*0} => {GRMZM2G170742*0}",0.202020202020202,0.526315789473684,1.42105263157895
"64","{GRMZM2G170742*0} => {GRMZM2G394237*0}",0.171717171717172,0.463636363636364,1.19739130434783
"65","{GRMZM2G170742*0} => {GRMZM5G864903*0}",0.205387205387205,0.554545454545455,1.39576271186441
"66","{GRMZM5G864903*0} => {GRMZM2G170742*0}",0.205387205387205,0.516949152542373,1.39576271186441
"67","{GRMZM2G174860*0} => {AC208559.3_FG003*0}",0.164983164983165,0.453703703703704,1.225
"68","{GRMZM2G174860*0} => {GRMZM2G021433*0}",0.168350168350168,0.462962962962963,1.23873873873874
"69","{GRMZM2G021433*0} => {GRMZM2G174860*0}",0.168350168350168,0.45045045045045,1.23873873873874
"70","{GRMZM2G174860*0} => {GRMZM2G175258*0}",0.168350168350168,0.462962962962963,1.21681415929204
"71","{GRMZM2G174860*0} => {GRMZM2G104955*0}",0.168350168350168,0.462962962962963,1.22767857142857
"72","{GRMZM2G174860*0} => {GRMZM5G864903*0}",0.168350168350168,0.462962962962963,1.16525423728814
"73","{GRMZM2G032222*0} => {GRMZM2G362281*0}",0.171717171717172,0.459459459459459,1.18660399529965
"74","{GRMZM2G032222*0} => {GRMZM2G088834*0}",0.168350168350168,0.45045045045045,1.16333725029377
"75","{GRMZM2G032222*0} => {GRMZM2G067350*0}",0.181818181818182,0.486486486486487,1.25640423031727
"76","{GRMZM2G067350*0} => {GRMZM2G032222*0}",0.181818181818182,0.469565217391304,1.25640423031727
"77","{GRMZM2G032222*0} => {GRMZM2G314546*0}",0.175084175084175,0.468468468468468,1.23128438172686
"78","{GRMZM2G314546*0} => {GRMZM2G032222*0}",0.175084175084175,0.460176991150442,1.23128438172686
"79","{GRMZM2G032222*0} => {GRMZM2G459432*0}",0.175084175084175,0.468468468468468,1.19944082013048
"80","{GRMZM2G032222*0} => {GRMZM2G031568*0}",0.178451178451178,0.477477477477477,1.16238369517058
"81","{GRMZM2G032222*0} => {GRMZM2G089565*0}",0.185185185185185,0.495495495495495,1.23665682489212
"82","{GRMZM2G089565*0} => {GRMZM2G032222*0}",0.185185185185185,0.46218487394958,1.23665682489212
"83","{GRMZM2G047720*0} => {GRMZM2G071270*0}",0.178451178451178,0.473214285714286,1.25486288265306
"84","{GRMZM2G071270*0} => {GRMZM2G047720*0}",0.178451178451178,0.473214285714286,1.25486288265306
"85","{GRMZM2G438438*0} => {GRMZM2G047720*0}",0.168350168350168,0.45045045045045,1.19449806949807
"86","{GRMZM2G047720*0} => {GRMZM2G701389*0}",0.208754208754209,0.553571428571429,1.4421992481203
"87","{GRMZM2G701389*0} => {GRMZM2G047720*0}",0.208754208754209,0.543859649122807,1.4421992481203
"88","{GRMZM2G047720*0} => {GRMZM2G128214*0}",0.175084175084175,0.464285714285714,1.1887315270936
"89","{GRMZM2G047720*0} => {GRMZM2G394237*0}",0.171717171717172,0.455357142857143,1.17600931677019
"90","{GRMZM2G047720*0} => {GRMZM5G864903*0}",0.208754208754209,0.553571428571429,1.39331113801453
"91","{GRMZM5G864903*0} => {GRMZM2G047720*0}",0.208754208754209,0.525423728813559,1.39331113801453
"92","{GRMZM2G047720*0} => {GRMZM2G174236*0}",0.178451178451178,0.473214285714286,1.20123626373626
"93","{GRMZM2G174236*0} => {GRMZM2G047720*0}",0.178451178451178,0.452991452991453,1.20123626373626
"94","{GRMZM2G047720*0} => {GRMZM2G031568*0}",0.175084175084175,0.464285714285714,1.13026932084309
"95","{GRMZM2G154078*0} => {GRMZM2G377904*0}",0.178451178451178,0.481818181818182,1.31284403669725
"96","{GRMZM2G377904*0} => {GRMZM2G154078*0}",0.178451178451178,0.486238532110092,1.31284403669725
