h_rule,h_no,t_rule,t_no,reference
GRMZM2G072850,sum,GRMZM2G174949,sum,0.168350168350168
GRMZM2G072850,sum,GRMZM2G109959,sum,0.168350168350168
GRMZM2G072850,sum,GRMZM2G075502,sum,0.171717171717172
GRMZM2G071270,sum,GRMZM5G864903,sum,0.208754208754209
GRMZM2G071270,sum,GRMZM2G394237,sum,0.181818181818182
GRMZM2G071270,sum,GRMZM2G375675,sum,0.171717171717172
GRMZM2G071270,sum,GRMZM2G174621,sum,0.178451178451178
GRMZM2G071270,sum,GRMZM2G170742,sum,0.178451178451178
GRMZM2G071270,sum,GRMZM2G152373,sum,0.171717171717172
GRMZM2G068575,sum,GRMZM2G320298,sum,0.178451178451178
GRMZM2G068575,sum,GRMZM2G154078,sum,0.175084175084175
GRMZM2G068575,sum,GRMZM2G142776,sum,0.188552188552189
GRMZM2G068575,sum,GRMZM2G126812,sum,0.158249158249158
GRMZM2G068575,sum,GRMZM2G116881,sum,0.178451178451178
GRMZM2G068575,sum,GRMZM2G089565,sum,0.181818181818182
GRMZM2G067350,sum,GRMZM5G854880,sum,0.181818181818182
GRMZM2G067350,sum,GRMZM2G419267,sum,0.181818181818182
GRMZM2G067350,sum,GRMZM2G377904,sum,0.171717171717172
GRMZM2G067350,sum,GRMZM2G174949,sum,0.175084175084175
GRMZM2G067350,sum,GRMZM2G174236,sum,0.185185185185185
GRMZM2G067350,sum,GRMZM2G109547,sum,0.175084175084175
GRMZM2G057690,sum,GRMZM2G177169,sum,0.161616161616162
GRMZM2G057690,sum,GRMZM2G172794,sum,0.161616161616162
GRMZM2G052111,sum,GRMZM5G871419,sum,0.164983164983165
GRMZM2G052111,sum,GRMZM5G864903,sum,0.161616161616162
GRMZM2G052111,sum,GRMZM2G375675,sum,0.158249158249158
GRMZM2G052111,sum,GRMZM2G174949,sum,0.171717171717172
GRMZM2G052111,sum,GRMZM2G170351,sum,0.164983164983165
GRMZM2G052111,sum,GRMZM2G167492,sum,0.164983164983165
GRMZM2G047720,sum,GRMZM5G864903,sum,0.208754208754209
GRMZM2G047720,sum,GRMZM2G701389,sum,0.208754208754209
GRMZM2G047720,sum,GRMZM2G438438,sum,0.168350168350168
GRMZM2G047720,sum,GRMZM2G394237,sum,0.171717171717172
GRMZM2G047720,sum,GRMZM2G174236,sum,0.178451178451178
GRMZM2G047720,sum,GRMZM2G170742,sum,0.188552188552189
GRMZM2G047720,sum,GRMZM2G166099,sum,0.185185185185185
GRMZM2G047720,sum,GRMZM2G128214,sum,0.175084175084175
GRMZM2G047720,sum,GRMZM2G071270,sum,0.178451178451178
GRMZM2G042516,sum,GRMZM2G394237,sum,0.188552188552189
GRMZM2G042516,sum,GRMZM2G301208,sum,0.171717171717172
GRMZM2G042516,sum,GRMZM2G174621,sum,0.181818181818182
GRMZM2G042516,sum,GRMZM2G174236,sum,0.178451178451178
GRMZM2G042516,sum,GRMZM2G154078,sum,0.175084175084175
GRMZM2G042516,sum,GRMZM2G137375,sum,0.185185185185185
GRMZM2G042516,sum,GRMZM2G089491,sum,0.171717171717172
GRMZM2G042516,sum,GRMZM2G075502,sum,0.175084175084175
GRMZM2G042506,sum,GRMZM5G864903,sum,0.178451178451178
GRMZM2G042506,sum,GRMZM2G101938,sum,0.178451178451178
GRMZM2G042488,sum,GRMZM5G871419,sum,0.175084175084175
GRMZM2G042488,sum,GRMZM2G327199,sum,0.188552188552189
GRMZM2G042488,sum,GRMZM2G167492,sum,0.198653198653199
GRMZM2G042488,sum,GRMZM2G147145,sum,0.171717171717172
GRMZM2G037335,sum,GRMZM5G871419,sum,0.185185185185185
GRMZM2G037335,sum,GRMZM2G314546,sum,0.185185185185185
GRMZM2G037335,sum,GRMZM2G310362,sum,0.168350168350168
GRMZM2G037335,sum,GRMZM2G128214,sum,0.191919191919192
GRMZM2G037335,sum,GRMZM2G089565,sum,0.171717171717172
GRMZM2G036409,sum,GRMZM5G838420,sum,0.171717171717172
GRMZM2G036409,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G036409,sum,GRMZM2G177169,sum,0.171717171717172
GRMZM2G036409,sum,GRMZM2G170727,sum,0.181818181818182
