"from","to","value"
"GRMZM2G102779","GRMZM2G472945","0.0223766814028214"
"GRMZM2G082180","AC208559.3_FG003","0.0223644943200858"
"GRMZM2G167492","GRMZM2G072850","0.0223387173527017"
"GRMZM2G149230","GRMZM5G854880","0.0223133630211379"
"ZEA","GRMZM2G021433","0.0222933707146008"
"GRMZM2G377904","GRMZM2G035592","0.0222675542820875"
"BC","GRMZM2G131907","0.0222666371294815"
"GRMZM2G149442","GRMZM2G375675","0.0222573679156042"
"AC208559.3_FG003","GRMZM2G021514","0.0222531427279927"
"Bcry","GRMZM2G089565","0.022222161092796"
"GRMZM2G082180","GRMZM2G037335","0.0222017037422935"
"GRMZM2G032222","GRMZM2G042506","0.0221786389639995"
"GRMZM2G154460","GRMZM2G057690","0.0220936404931474"
"GRMZM2G131907","GRMZM2G375675","0.0220191995524123"
"GRMZM2G154460","GRMZM2G174860","0.0219715010444125"
"GRMZM2G088834","GRMZM2G170727","0.021924431999855"
"GRMZM2G394237","GRMZM2G314546","0.021908434151987"
"GRMZM2G104955","GRMZM2G089565","0.0218998619347936"
"GRMZM2G147145","GRMZM2G375675","0.0218452502009446"
"GRMZM2G089491","GRMZM2G157481","0.0218212574051181"
"GRMZM2G104955","GRMZM2G042506","0.0218171265549404"
"GRMZM2G701389","AC203754.4_FG008","0.0217994274490874"
"GRMZM2G147145","GRMZM2G170351","0.0217952913176145"
"GRMZM2G116881","GRMZM2G057690","0.0217836494180802"
"GRMZM2G429899","GRMZM2G301208","0.0217738795308957"
"GRMZM2G108457","GRMZM2G107609","0.0216909706878608"
"GRMZM2G331833","GRMZM2G167492","0.0216352868346311"
"GRMZM2G116881","GRMZM2G068575","0.0216043013544654"
