"V1","V2"
"GRMZM2G128214","GRMZM2G082180"
"GRMZM2G100727","GRMZM2G109959"
"GRMZM2G362281","GRMZM2G047720"
"GRMZM2G419267","GRMZM2G477340"
"GRMZM2G108919","GRMZM2G035592"
"GRMZM2G047720","GRMZM2G170742"
"GRMZM2G042488","GRMZM2G031568"
"GRMZM2G057690","GRMZM2G438438"
"GRMZM5G871419","GRMZM2G147145"
"GRMZM2G377904","GRMZM2G088834"
"GRMZM2G089491","GRMZM2G108919"
"GRMZM2G101938","GRMZM2G513713"
"GRMZM2G301208","GRMZM2G460861"
"GRMZM2G120069","GRMZM2G042516"
"GRMZM2G017678","GRMZM5G838420"
"GRMZM2G052111","GRMZM2G177169"
"GRMZM2G152373","GRMZM2G102779"
"GRMZM2G301208","GRMZM2G068575"
"GRMZM2G472945","GRMZM2G052111"
"GRMZM2G037335","GRMZM2G154460"
"GRMZM2G109547","GRMZM2G429899"
"GRMZM2G028129","GRMZM2G031568"
"GRMZM2G010353","GRMZM2G177169"
"GRMZM2G010353","GRMZM2G088834"
"GRMZM2G377904","GRMZM2G362281"
"GRMZM2G042516","GRMZM2G301885"
"GRMZM2G102779","GRMZM2G320298"
"GRMZM2G170727","GRMZM2G075502"
"GRMZM2G569903","AC208559.3_FG003"
"GRMZM2G149230","GRMZM2G170351"
"Bcry","GRMZM2G102779"
"GRMZM2G472945","GRMZM2G102779"
"GRMZM2G082180","AC208559.3_FG003"
"GRMZM2G149230","GRMZM5G854880"
"GRMZM2G377904","GRMZM2G035592"
"GRMZM2G021514","AC208559.3_FG003"
"GRMZM2G154460","GRMZM2G174860"
"GRMZM2G375675","GRMZM2G147145"
"GRMZM2G147145","GRMZM2G170351"
"GRMZM2G108457","GRMZM2G107609"
"GRMZM2G167492","GRMZM2G331833"
"GRMZM2G068575","GRMZM2G116881"
"GRMZM2G174236","GRMZM2G175258"
"GRMZM2G057690","GRMZM5G838420"
"GRMZM2G109547","GRMZM2G154460"
"GRMZM2G088834","GRMZM2G031568"
"GRMZM5G856837","GRMZM2G021433"
"GRMZM2G172794","AC208559.3_FG003"
"GRMZM2G089565","AC206840.3_FG002"
"GRMZM2G314546","GRMZM2G301208"
